Filtered,reviewContent
0,My sisters told me at a very young age that when buying a girl a gift you can never go wrong with things that come in little blue boxes. I took that advice to heart and have been making girls happy as I can be ever since. If you know me then you know that if you are dating me around your birthday valentines day or christmas your going to get hooked up with some Tiffany's bling You can ask all my ex's even the ones that hate me they will tell you they have made out especially at Christmas. This year is no exception except I have no one girl to buy a buying a bunch of presents. So I am buying a bunch of gifts for a couple of special girls. Usually I make three or four trips during the holidays and today was trip number one of Â many to pick up a few things. There are all kinds of grea
1,If you think being past out in the backseat of a cab is proof of a kick-ass night well you're wrong. To end the night with a bang you MUST go to Mai's Restaurant for a late night snack (read: feast). It's also a good choice for lunch/casual dinner. Entrees are served family-style (big plates serving spoon) so sharing is encouraged. Top picks: Start off with spring rolls served with mounds of fresh greens (you'll need that extra hydration boozehounds); Vietnamese egg rolls steaming hot crispy goodness with a side of jalepeno-adorned fish sauce; garlic beef (or chicken) infused with soppy sauce veggies and piles of fully-cooked and soft garlic cloves--almost as savory as the meat--and of course fried rice. For the faithful Tex-Mex fan they event have a Vietnamese carne gisada. Yo
0,I loved Daytons. I was peeved about Fields. I was totally bummed with Macy's. In general this place is crap BUT it is the only place in MN to get the Thomas Pink Shirts and for that reason alone I must support it. What can I say I'm a sucker for my hubby in PINK.
0,BJ's recently opened a location over in Virginia Gateway in Gainesville VA. I received an invitation in the mail for a two month trial membership - so I went in to check it out. I had the option of signing up for a year beyond the 2 month trial membership for $40.00. If I waited for the 2 month trial membership to expire and then make a decision on membership - at that point the price would be $50.00 for a year. So I went ahead and signed up for the year - which means I have 14 months for $40.00. Because the place is so new the place looks nice and clean. I went and stocked up on things like bottled water dishwasher detergent and dishwasher drying agent. The one thing I will ding them on is their Membership Services area seemed a little disorganized. There were five people behind the c
0,After a long night of being the designated driver and driving my drunk friends back home...i stopped at Mobil in Cromwell for gas when i went inside they had just stocked the donut case and they looked amazing. Asked the clerk where they were from and he said Sugar Shack in Manchester..... These were some of the most incredible donuts ever...beats anything else in the state hands down.
0,I wish I could give another star but was disappointed in the service. The staff is great and friendly we were just there for about 2 hours just to eat breakfast. Thank goodness they served us a mini-muffin prior to our order coming out I was hungry! My friend and I went in and let them know we were going to sit outside. They noted they would be right out to service. We waited about 15 minutes. Once we placed our order we had another friend join us about 30 min later and place an order. Our third friend got his breakfast in a matter of 10 minutes. It was over an hour later when they noted they messed up our order (cook staff was looking at tables 1 & 2 vs. our table #12) ....something to that effect. We had ordered the Southern Comfort breakfast - Chicken Fried Steak 2 eggs hashbrowns
0,I always get great haircuts here and I have difficult hair. Â The shop is unpretentious and there was no waiting. Â Natilee takes the time necessary to do it right. The only thing that would make Natilee's better for me is if her shop was closer to my office. Â Still the drive is worthwhile. Call to make an appointment and don't be late. Â Natilee runs on-time and works fast. Final thoughts: Â If you don't already know who Steve McQueen was and what he's famous for you might want to brush up on that before you go. Â You'll still get a killer haircut but the conversation will be more interesting if you're conversant about Steve. P.S. Â Natilee does great work at a very reasonable price so tip well.
0,I attended a funeral reception here recently and it was exactly what you would expect and nothing more. Â In writing this review I realized that places like this exist for funerals. Â It was interesting that the place had 2 funeral parties going on at once. Â It doesn't matter how good the food and the atmosphere are when you are gathering people for a quick funeral meal. Â For that I retract a few of the previous comments. Â The meal was average but it was served by people who really seemed to care that we were happy and enjoying ourselves. Â The the bartenders and waitstaff were incredibly nice. Â The gentlemen at the stale cigarette-smelling bar kept us all happy. The appetizers were deviled eggs and sausage in a brown gravy. Â  Â The meal was a variety of sides beef and gravy and roaste
0,is there really a lazy river here
0,"Well I drove an hour into Boston for their Japanese hot dogs and despite that being their main source of revenue (they have about 15 to choose from) they were out of hot dogs.. and sausages.. So.. I guess all I can review is that a hotdog joint ran out of hotdogs. And I couldn't understand a damn word she said other than we have no more hotdogs or sausages"". Luckily there's plenty of other good food in Chinatown."""
0,I know I've already reviewed Carlos & Pepe's but I do have to say - coming from someone who grew up in California: that this is the most delicious most authentic Mexican I have ever had in Florida. Â The service could use a little tweaking but no one is perfect. Â  I wish they were open for lunch as well!
0,I've been going to The Works since I can remember. Â My grandfather used to own a business that was right next door to the works and because my brother and I would constantly be with my grandparents The Works would be a hangout spot for us. Â I remember getting their cheese fries and their vanilla ice cream and having the only woman who was ever behind the counter take a bite of it before giving it to me. Now after 18 years I still go back every now and then for their gyros and their cheese fries. Â The gyros are carved off the spit as soon as you order it and then put on the grill for a couple of minutes or so giving the pieces a nice crisp edge. Â With their tzatziki sauce tomatoes and wrapped in a warm pita it is the perfect lunch or dinner. Â Their cheese fries taste the way I always r
0,QuikTrip is great for sooo many reasons. * All of their stores are always clean and well lit. * You get greeted when you walk inside. * They take checks (seriously this comes in handy every once-in-a-while). * Gas prices are usually the lowest in town. * All of their fuel products are guaranteed although I'm not really sure what that means. This location is just over the train tracks in Vinings about a mile from I-285. It's usually really busy but you can get in and out easily. Careful trying to make a left-hand turn out of here because it gets tricky during rush hour.
0,This is a well-run sonic. It's in a good location (by Arby's and Lowe's) and the food is always fast and fresh. The only complaint is that they don't have a drive thru but the service is usually fast so it's not really a problem.
0,Let me preface this with I have NOT had their pizza however the reason for the review is their delivery drivers....I witnessed one cut off a driver nearly causing a multi car accident! Then several weeks later my sister calls me very shaken up because she was cut off by one of their drivers. She had to swerve to avoid getting hit and ended up off the road with her 2 year old in the car! I understand people want to get their food fast but there's a fine line between fast and reckless these drivers are reckless!
1,Food is great and innovative. Â Have yet to be dissapointed. Â Gets quite busy at times. Â Not all servers were great but none the less I am happy.
0,The IHOP in my neighborhood closed after 50 years and we kind of miss them for a cheap breakfast. I wish they'd tear down the old building and build us a new one like this location. The inside is more modern but still very compact and tight. They make use of every inch but doing so puts the tables close together. It also makes the table tops small and crowded once your food arrives. However IHOP serves up a good cheap breakfast. Their Breakfast Sampler gives you everything you'd want for your morning meal. You'll enjoy two of everything; eggs your way bacon sausage ham pancakes and a hearty side of hash browns. Â It's almost too much food I always bring some bacon and sausage home for the dogs. I like my Hash Browns extra crispy and today when ordering I forgot to mention my quirky 
0,The inside of this place seems awesome. a little bit cleaner than most targets that I have visited. The reason for the lower rating is the parking situation. There is a parking garage and a lot. The lot has walk-ways to get to and from the store to your car and the car returns are in odd places. Maybe I just have never seen a place like this before but it will take some getting used to.
0,Preppie Paradise. Â  The crocodile is back! Â It's a little smaller in size but just as charming. Â Or perhaps more. Â As I was leaving the store the cashier rang up a customer's bill. Â Over $2000. Â  It's medium sized store but I found a lot of adorable pieces too. Â Most items range from $75-$125 each. Â The current women's collection is overwhelmingly pastel heavy. Â I would advise any female more than 30 pounds overweight to avoid this season's selection unless she wants to look like a lumpy Easter egg with legs. Â (Hey I'm just trying to HELP you. Â I can't pull off every look either!) Everything in the store is neatly folded Â hung or displayed. Â Many items come in a variety of bright colors. Â (Would you like pastel pastel or pastel?) Don't worry if you suffer from any of the following
1,Excellent doctors and awesome staff... Highly recommended...
0,I love options. This place has them. I never ever ever skip the opportunity to try a Mexican place when suggested and recommended by a friend or family member. My mom knows good Mexican and she brought me here. I must say I chose simple tacos al carbon (al pastor - with onions and cilantro) and they were quite delicious. Of course I had to stab my fork into every ones plates to taste what they were having (fajitas tamales etc) and the guac was fan-flippin'- tastic. Is it because I love avocado's in all their delicious green forms? I do not know maybe. You try it and tell me if you agree.
0,Disclaimer: I have a love hate relationship with this place... but for mostly personal reasons. Open Mic night on Mondays and live music throughout the week is pretty cool. On Mondays a lot of local bands will be up on stage doing their thing. Bartenders are quick and the prices are cheap. I strongly disagree with pregnant people (bartender on duty) taking shots... hmmm something about being prego and drinking just doesn't sit right with me... Overall a dive bar with a fun crowd.
0,We went here last night after a long hiatus. Â  I have to say that I have been to far better F&H locations in DFW. This location has a smoking room but the main room seems to smell anyway. Â Infact I left with a sore throat and Hubby woke up with one this morning. Perhaps it was b/c we were screaming over the spotty music. Â Pearl Jam POTUSA Oasis = yes. Â Everything else = no. Â Bonus points for music videos remember those? Hubby ran into an old football college buddy so we were a party of three last night. Â We shared cheese fries which suited us as dinner and I woke up not even hungry for breakfast. Major portions here. Why was I carded to get in when the white trash family that entered an hour later was able to bring in a 6 month old? Â That is quite underage. Clean bathrooms rotating da
0,Everything went well as planned. Â Comfort and information was provided. Â Couldn't ask for more as far as shoulder surgery is considered. Â Dr. Snyder was great.
0,UPDATE: Rocky's has unfortunately gone under new management (again) and have regrettably become inedible. To begin with the pizza has no sauce the cheese tastes like plastic and the service is sub-par to mediocre. I can tell that the new owners want to make the business successful but at the cost of sacrificing quality? Come on! Looks like the quest for a pizza joint lingers on... :-(
1,FOOD: Â is excellent high-quality and tasty all around. Â The pot pie chicken salad sandwich minestrone soup and all desserts especially the frosted mocha are great. SERVICE: Â is always friendly and competent even when things are bustling which is often the case. Â My only small complaint is that they close way too early on Sundays (5:00 pm!). AMBIANCE: Â there is ample indoor and patio seating and its open and airy. Â It's an educated and hip crowd. VALUE: Â is decent given the location and what you get.
0,I believe this to be the best BBQ in the entire state of South Carolina. I've had several others that were also great (Shealy's Palmetto Pig etc.) but this one is #1. Their hash is by far the best I've ever eaten. My family makes special trips an hour away just to pick up from here.
0,The food and service were excellent. Â Best Tex-Mex outside of Texas. Everything about this meal was perfect. Â From the delicious chips and salsa to the entrees. Â I'm not a fan of food made spicy for the sake of being hot. Â Both of the salsas and the queso had a spicy flavor without being hot. One of the highlights was the three Shiner beers on tap: Bock 102 and the Ruby Red. Â All fresh and cold and only $5 for 20 oz. We had two entrees: the barbacoa special and the enchiladas. Â I've never had better. Â Usually enchiladas are just a mess of cheese and a sauce. Â These were flavorful and bite after bite you could taste the distinctive flavors.
0,I love the Hippo. A local free art/food/entertainment liberal weekly paper that covers southern New Hampshire. I like that it offers the arts and I can find out about concerts and new restaurants in the area. Its not very gay or have many gay establishments advertised. That kinda sucks but again I like how it connects me to my not so gay community here in Southern NH.
0,Its such a fun place! with GIANT TV screens all around and so much activity every night of the week and even at lunch hour this is such a fun place to check out. Beware however its really tough to get a seat on game night. the food is pretty good Â - way above regular bar food. The sliders are terrific and the wings are voted one of the best in the city and they are pretty great!! I hear you're able to connect your iPod in to one of the booths and listen to your own music - need to try next. If you're a sports fan - you'll be coming back here again and again!
0,Ok if you are looking for something that screams Richmond check out Plaza Bowl on a Friday night. Â They have pool tables live local bands playing on a stage set up in the center of the alley cheap pitchers of beer and of course duckpin bowling. Duckpin bowling is apparently a dying sport... unlike regular bowling duckpin has more pins and smaller balls. Oh also you get three balls for each turn. Â You need all three though- those pins are small and hard to hit! Â There are only a few alleys left in the United States that have duckpin bowling and apparently Plaza Bowl was about to close when a heroic local citizen stepped in and saved it. Â He is now trying to renovate it little by little so he asks that you do your part by not trashing the bathroom and paying a cover charge to get in
1,On a Sunday Night at 7pm with a restaurant only half full should not result in a 2-hour meal no matter how fabulous the owners think they are. It took 15 minutes just to get a waiter to take our drink order. Another 15 and he was back with the drinks and took our food order. PATHETIC! $32.00 for a 6oz piece of RARE Salmon & $39.00 for 5 12-15 count shrimp with 5 pieces of fettucini is just idiotic. You first have to become a 3-Star venue let alone 4 or 5 to be charging these prices. Definitely not the type of place that should be associated with Hard Rock.
0,Can't comment on wine alright so cut me some slack. Â But seriously folks I was looking for a specific beer LA-31 Grenade and darned if Sidney's didn't have it. Â Not only that they poured it in a cup for me so I could drink it. Furthermore they had some old-ass Russian vodka sold in a bottle shaped like a rifle! Â Guns and booze! What's cooler than that. This place is the shizz yo. Â They have mad beer and stuff. Â GYATTP. BT out....
0,Please note: Â The review is not a review of their beer or their company. Â It's a review of the brewery tour. Â I love their beer and the company. Dear St. Arnold's: It has finally happened. Â You've gotten too big and too popular to conduct the tours the way you used to at least on Saturdays. Â The place is so crowded that the A/C can't keep up. Â Getting a sample requires standing in a line that's nearly back to the entrace. Â People are set up on blankets all over the place making it hard to walk around. Â It's not your fault per se but it does mean that a little more structure is going to be required before I'll go back on a Saturday. I have been on brewery tours all over the country - Miller A/B Leinenkugel's Henry Weinhard's... this is the only one that's basically controlled (and 
0,After visiting the Crown Hill Cemetery my friend and I went to see Inception at this movie theatre. Â Matinee prices were fair the place was not full (probably due to the Brickyard 400 qualifying events in town??) temperature was just right and popcorn was fresh. Â  Since this theatre is less than 10 minutes from my home I'll be back.
0,My favorite part of this restaurant is in the summer- great for hangout in the back deck. Â My husband really likes to watch the planes land. Â The food is okay. Â I got the Salmon and it was not presentable at all- alittle pricey. Â  Staff is friendly and service fast.
0,This high-rise hotel is about 3 blocks from nasty Bourbon St. Â Hilton hired the best valets I've ever experienced. The doorman must have been Houdini in another life - Â he packed the car trunk that well. Â Check-in & out was seamless and the room price was very good for an urban property. Â The room was HUGE even by American standards. Â  I'd definitely return here assuming anyone can provide at least one intelligent reason to return to the City of Lost Souls.
0,"I forgot when Cheesefake factory turned from a family style restaurant into a snooty upscale"" italian style restaurant. Whenever it was it was a day that will forever be labeled as a catastrophic error in strategy. Your business model is not impressive. You way overcharge for food thats quality is essentially macorni grill and you are the baker's square of cheesecake. That means you should be somewhere in those caliber of dining establishments. Prices and light fixtures are unable to convince me otherwise."""
0,All im going to say is OMG.. So beautiful.. Such detail in everything... Â From the floors to the ceilings.. The tour was excellent. Â The tour guide was very good. All the people working there are very friendly. The views from the hilltop overlooking the bay are amazing.. I would definitely recommend this to anyone driving up there. FYI...only thing its not really that good for elderly folk.. Â Too many stairs to enjoy it all.
0,Cheap gambling cheap table games...this is place you go to learn without busting a nut i mean busting your wallet while learning how to play... Not only that but besides driving further down to downtown this is place has the cheapest coronas and heinekens at $2 a pop and cheap and pretty decent food for when your broke. They also have a Subway... Oh and now they have this lounge act in the back and oh my god... Think of its a section of the back part of the building were they have a little stage and they have this one man band guy singing... guy was pretty cool and was all into his act... You need to check this out!!!
0,"The thing with El Charro - is that I am giving it a 2-star review and yet I continue to go back. Â I know it's not great food... but something still draws me in. The thing I love about El Charro - is the soft taco shells and their deep-fried puffy goodness. Â I know they are bad for me but they taste so good - I am even one of the freak-shows who orders the fondue at El Charro's just so I can get a basket of the soft taco sticks. That said I don't think I am ever really happy with or wow""ed by anything I order here. Â The burritos and enchiladas are pretty flavorless... as is the taco meat that they use. Â The entrees come with salad or cheese nachos - Â the cheese nachos consisting of 4 of the chips that are already complimentary that have melted cheese and 1 jalapeno on each. Â Go with the"""
0,Boasts international flavors. Â Started with the cheese ans sausage soup topped with a few kernels of popcorn. Â Interesting touch and complimentry flavors. Â Light soup not heavy cheesy. Â Also ordered the falafels which came atop salad with a light tangy yogurt dressing. Â The spices in the dense falafels were superb. Â I like my falafels more dense and meat-like and this was right on. Â Didn't taste too fried or cornmealy. The tab came with a dark chocolate truffle bite. Â Mmmmm. Â Before I give more than 3 stars i'd need to try dinner.
0,Brother Sebastian's offers a unique perspective on a steak house. And with menu items like frog's legs and baked alaska it definitely keeps you guessing. Unfortunately I wasn't overly impressed with the quality of the food. And because that's one of the main requirements for me to repeat-visit a restaurant I probably won't be going back on my own accord. Still it's a classic local steak house that's worth a try at least. Â Everyone's taste is obviously a little bit different the over 60 crowd that was a majority of the clientÃ¨le while we dined seemed to be big fans.
0,Still fast food but tasty and a variety of options for your diet or personal preferences. Â I tend to sway towards their veggie options as they're more unique that what you find at a regular sandwich shop. Agree with the previous recommendation on the kids meals -- they kind of suck. Â You're better off buying a regular sized (kid friendly) sandwich like the Elvis then cutting it in portions. Staff is always extremely friendly & seems to enjoy working there. Â You can sign up on their website for coupons free birthday meals etc. Not a bad option if you're in the Cool Springs area and want a quick & simple meal.
0,I went here after a gallery opening prepared to be impressed since everyone in the crowd of us who were going had raved about the French food served here. What I ate was tastey though not necessarily up to the par the prices would indicate you would be getting for quality. It seemed more that you were paying for the atmosphere of the joint and the fact that you could see and be seen. For the price you pay for a simple soup and sandwich I'm not entirely convinced this place is worth a return visit--though as I said the food was tastey enough.
0,I love wine and Cru by far has decent selection and it's walking distance from our door so that's quite convenient. I think it would be unfair to compare it to the places we've been in Sonoma and San Francisco so I'm not going in that direction. This is how I think a wine bar should be in terms of atmosphere and simplicity. We don't really eat dinner here but we get a charcuterie a flight of sparkling wine or any reds and then the fondue dessert. I love it that it's such a nice simple spot and has a lot of outdoor seating. Â If I'm not careful I can really splurge in the place so I try to keep it to flights so I can at least have some variety in my vino drinking. The managers always come around to check on you and the service is really great. There is brunch here and that's something I am
0,Decent basic airport bar. Be patient with the bartenders!! They take food orders and have to walk next door to make the orders and pick them up!!
1,For a luxury hotel and resort according to their website and the history that surrounds this property I was sincerely underwhelmed by experience. Â Upon my arrival at the hotel I stood in line for slightly less than one hour to check-in to the resort on a Sunday. Â If you have as many rooms as you have as a resort and are a luxury property then you should learn to staff your property appropriately and potentially add more space for check-in and check-out at the front desk. Â After waiting the excruciatingly long time to check-in I went to my room in the 'Chateau' building on the 6th Floor. The room was also underwhelming again on the premise that you are a luxury resort. Â The room was great if you were the Marriott or a Hilton property and just barely on par with a Westin hotel. Â But
0,Today I had lunch alone. At a buffet. Talk about a surreal experience... and while I wasn't the only one sitting alone reading for some reason it seemed weirder at a buffet than just eating alone and reading at a restaurant. Anyway... on the the food. Seemed necessary to sample a little bit of everything so I tried no less than probably 30 items - mind you in small proportion. But believe the hype here because it was all good. And if you're not into buffet dining then obviously why would you consider coming here to begin with... So if you're on board for grubbing they have four lines with salad bar/dessert Mongolian grill entrees and appetizers galore. Turnover was good on items everything was fresh and hot staff were friendly the place was very clean and my solo buffet lunch was l
0,Nice old home to have a cozy and tasty lunch or dinner. Good tapas selection along with some sandwiches salads and mains. These preparation seems to be good and the ingredients top-notch. A great example would be the Fevere Bread from around the corner. The staff is super-nice... so even if you are a picky fool like me you'll probably be treated to a smile nontheless.
0,For the neighborhood Mainelli's is as good as you'll get. When I came I thought the food was good but half of my party disagreed. The problem we all saw with Mainellis was that you'll spend as much here as you would at a Federal Hill joint like Joe Marzilli's Old Canteen ($20 for a 5 course meal) but the setting is more like Pizza Hut. I thought the spaghetti and meatballs were good. The balls were light and fluffy and the sauce was delicious. The portion was tiny though. Calamari came with about 10 rings and weren't anything to write home about. Eggplant ricotta cheese thing was delicious and our Caesar salads had a delicious buttery Caesar dressing. Pan seared scrod was served to the 96 year old at our table and she loved it. The food is good enough and I'd love to say more to keep t
0,One last update: Â I decided to try one of their shakes today because I was looking for something cool to drink. Â In retrospect I really should have seen this coming but my chocolate banana protein shake didn't taste like chocolate or banana but rather protein. Â And not fun protein but the ground up stuff that they sell in those massive jugs at GNC or at the protein shop thing in the restaurant itself. Basically I've had it with this place. Â The food isn't that great their nutritional info can only be ascertained via the brochure (and isn't all that appealing for what seems to be a healthy living place) and there's a GNC-like place in it which I find disconcerting. Â Blech. Â  The service isn't too bad which may be the only redeeming factor but there are much better places for food
0,Read all the reviews on Yelp and decided to come here for breakfast on a Saturday. Â There was no wait for a table and we were able to order right away. The coffee is great! Â I was actually kind of shocked by how good it was. Â Hash browns were right on the money. Â  Cheap fast and good. Â They all add up to a great Saturday morning breakfast!!
0,This place isn't fancy but it is fun and you will like it. Â I'd give it an easy four stars but I'm offended by the prices. Â Of course there really aren't any other options for good BBQ around are there? Â I have never had such juicy flavorful fried chicken. You should definitely try it if you like southern food but be prepared for sticker shock when you read the menu. You'll forget about the prices briefly because you'll enjoy the food but afterwards you'll wonder if Bubba realizes being an NFL lineman nets a different salary than a Lorain County restaurant owner.
0,I booked this hotel on Hotwire for about $90 and had to book it the night before. Â Pretty good value given it was right next to the airport and had a very good breakfast. Â The room was a very good size and comfortable. Â The hotel was under some kind of renovation which caused paint fumes to be in the hallways. Â They really should warn you of this before you go. Â  The internet was very fast and free which I really appreciated. Â Always love that in basic hotels when the very expensive hotels charge you. Â The people were very nice and accommodating. In room amenities were good with a microwave fridge and nice HD TV. Â I did not order a special room so I am assuming this is the standard room. Â  Overall I would stay here again. Â I would not shout from the mountain tops how great it is but good
1,OK 4 stars because we had fun here. Â The food was tasty but not memorable. Â The drinks were awesome and the waitress added to the festivities. Â This is a great place to go for dinner because you're in San Antonio for a convention you want to eat by the river and you want to have a good time.
0,I've always loved the convenience service and style of CB so with our wedding approaching it was a given that my Fiance and I would register for gifts there. Recently I got a lovely phone call to inform me that someone had (very generously) purchased us the dining room table that we requested. Â We scheduled a delivery time on a Sunday (how convenient!) and waited for our new arrival. Â When the scheduled time came we were surprised to get a call informing us that the truck our table was on and all of its contents had been stolen! I was told that someone would call me later in the day to schedule another delivery. 48 hours later when I hadn't heard anything I called CB to inquire of our status. Â A lovely woman was so apologetic and helped me to schedule a new delivery for the very 
1,So after a great night of drinking at the Brewer's Festival the night before we wanted a nice breakfast and am so glad we ended up here. First I have to say it is no average breakfast place but a upscale place focusing on local and organic offerings. I also really like the fact that they go out of their way to reduce their waste and don't understand why more restaurants don't do it. I had the oatmeal pancakes with bacon homefries eggs and sourdough toast. I had never had an oatmeal pancake before and don't know how I missed them all this time. While it felt like it weighed a ton it actually was very fluffy and flavorful while not being nearly as filling as you would expect. I would say one oatmeal one is equivalent to eating two regular pancakes. The bacon and eggs were actually done as
0,$5 pizzas....through a drive through window? Â What's not to love. Â Yes it's crappy pizza but when it comes time to feed a family of five like mine nothing gets it done quicker and cheaper than Little Ceasars. Â I'm in and out within minutes and two hot pies fills up five hungry mouths for $10 and some change. Â Can't beat it!
0,Been to Cindi's a couple of times for breakfast which has always been a solid experience. The place can get busy though which results in a crazy parking lot and possible long wait for a table. Who can blame em though. Order a pastry or a cookie from the deli case if you feel like you are going to gnaw your arm off. Last night we ventured to Cindi's for dinner. Good crowd but not crowded. I saw chicken fried chicken as a special for the night and indulged myself. My first thoughts were soup since I'm sick and wanted something throat soothing but who says a deep fried chicken breast won't slide down a constantly parched throat? Well it's got cream gravy on it at least! Mashed potatoes and fried okra as sides. Food was tasty although potatoes were slightly off. They might be made from fla
0,Rain Shadow Meats? *sigh* ..Taylor Shellfish? *sniff* Calf and the Kidd? *trembly lip* Sitka & Spruce? Homegrown? Still Liquor?! *sobs* I WANT ALL THE THINGS!!! This place is jam packed full of awesome and I lament not having a never ending supply of cash to buy all the wondrous things to be found here. The building is great -- open feel to everything lots of natural light and full of friendly employees. Â Oh and it is all local and sustainable to boot? Fabulous. *sniffle* Melrose has it all and I want all of it.
0,Strange place. jam packed with anything you would need for a dog but got just an odd vibe overall. The discount card they offer is a little ridic though. for every 250$ you spend you get 10$ back...we are a no frills dog family...
0,The popcorn here is delicious! There are so many flavors including blue raspberry cinnamon vanilla (so good! not too sweet either!) caramel apple even dill pickle. Some may sound strange but you can sample them first. For the more traditional the cheddar and movie theatre butter is fantastic. The owner Kathy is also very nice and personable. Prices are very reasonable to say the least! A must stop in Downtown Waukesha.
0,I stayed her for business. It was good enough but nothing about it (besides being in Newport) made it stand out. It's not too big staff is friendly parking is expensive ($25) and it's situated right on the water which is nice. Didn't try the restaurants but the food provided for the meetings was eh. You don't get the creme de la creme when they have buffet style for lunch/dinner. Rooms are nice but you have to pay for internet which is ridiculous. Gym is good size for a smaller size hotel. Business center is convenient and free...
1,Nothing like visiting the Hawaiian Islands. The Honolulu Airport is always welcoming arriving or departing they seem to have things smoothly in control Hawaii Style. There are beautiful Garden areas and an open air feeling throughout. I noticed their overdue construction / renovations in the old terminal. Local restaurants shops and amenities are located throughout. You can plainly tell that the airline restaurant employees and airport support staff live in paradise they seem happy & helpful. The airport only gets 4 stars due to the fact that you still have to pass through the Scrutiny of Airport Security.
0,This was a great place I would come here every year when I was in Baltimore. The downside to only coming once a year is you don't know when your favorite place to eat in inner harbor has been torn down to make way for a parking garage. Yep it's gone...
1,Food is ok but really doesn't have much flavor. Staff was friendly and price is reasonable.
